Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
201597UC01005,1,4,2,2,16,4,3,0,0,2,0,0,9,1,-1
201597UC01005,1,5,1,1,52,8,3,0,0,0,0,0,9,1,-1
201597UC01006,2,1,1,1,29,6,3,0,0,0,0,0,9,2,-1
201597UC01011,1,2,2,1,45,7,3,0,0,1,0,0,9,1,-1
201597UC01011,1,3,1,1,54,8,3,0,0,0,0,0,9,1,-1
201597UC01011,2,1,1,1,65,9,2,0,0,0,0,0,9,1,-1
201597UC01107,1,1,1,1,18,4,3,0,0,0,0,0,9,2,-1
201597UC01201,2,1,1,1,60,9,3,0,0,0,0,0,9,-1,-1
201597UC01203,1,1,1,1,39,7,3,0,0,0,0,0,9,1,-1
201597UC01205,2,1,1,2,19,4,3,0,0,0,0,0,9,1,-1
201597UC01302,2,1,2,2,16,4,3,0,0,2,0,0,9,3,-1
201597UC01302,2,2,1,2,36,7,3,0,0,0,0,0,9,3,-1
201597UC01310,1,2,1,2,50,8,3,0,0,0,0,0,9,1,-1
201597UC01310,2,1,1,1,36,7,3,0,0,0,0,0,9,1,-1
201597UC01502,1,1,1,1,21,5,3,0,0,0,0,0,90,1,-1
201597UC01508,2,1,1,1,46,8,3,0,0,0,0,0,9,3,-1
201597UC01510,1,1,2,2,50,8,3,0,0,1,0,0,9,1,-1
201597UC01512,1,1,3,2,64,9,3,1,1,0,0,0,0,1,-1
201597UC01711,1,1,1,1,25,5,3,0,0,0,0,0,9,1,-1
201597UC01712,1,1,2,1,37,7,3,0,0,1,0,0,9,1,-1
201597UC01803,1,1,1,2,87,11,3,0,0,0,0,0,9,1,-1
201597UC01901,1,1,3,1,63,9,3,5,1,0,0,0,0,2,-1
201597UC01902,1,1,2,2,69,10,3,0,0,0,2,0,11,-1,-1
201597UC01908,1,1,1,1,27,6,3,0,0,0,0,0,9,2,-1
201597UC02004,1,1,1,1,23,5,3,0,0,0,0,0,9,-1,-1
201597UC02111,2,1,1,2,34,6,3,0,0,0,0,0,9,2,-1
201597UC02203,2,1,1,1,58,9,3,0,0,0,0,0,19,2,-1
201597UC02205,1,1,1,1,23,5,3,0,0,0,0,0,9,-1,-1
201597UC02302,1,1,1,2,22,5,3,0,0,0,0,0,9,3,-1
201597UC02304,1,1,1,2,19,4,3,0,0,0,0,0,9,2,-1
201597UC02405,2,1,2,2,44,7,3,0,0,1,0,0,9,1,-1
201597UC02407,1,1,1,1,41,7,3,0,0,0,0,0,9,1,-1
201597UC02412,1,1,3,2,76,11,2,4,1,0,0,0,0,-1,-1
201597UC02502,2,1,1,2,20,4,3,0,0,0,0,0,9,1,-1
201597UC02504,2,1,2,1,1,1,3,0,0,2,0,0,9,1,-1
201597UC02504,2,2,1,2,30,6,3,0,0,0,0,0,9,1,-1
201597UC02505,1,1,2,2,18,4,3,0,0,1,0,0,9,-1,-1
201597UC02601,1,1,1,2,83,11,1,0,0,0,0,0,9,3,-1
201597UC02601,2,2,1,2,30,6,3,0,0,0,0,0,9,2,-1
201597UC02610,2,1,1,1,31,6,3,0,0,0,0,0,9,1,-1
201597UC02707,1,1,1,1,82,11,3,0,0,0,0,0,9,2,-1
201597UC02801,2,1,1,1,51,8,3,0,0,0,0,0,9,1,-1
201597UC02810,1,1,3,1,53,8,3,10,9,0,0,0,0,2,-1
201597UC02904,1,1,1,2,29,6,3,0,0,0,0,0,9,3,-1
201597UC02907,2,1,1,1,40,7,3,0,0,0,0,0,9,3,-1
201597UC02910,1,1,3,1,24,5,2,9,8,0,0,0,0,2,-1
201597UC02912,1,1,1,1,22,5,3,0,0,0,0,0,9,1,-1
201597UC03002,2,1,1,1,55,8,3,0,0,0,0,0,90,-1,-1
201597UC03003,1,1,1,2,57,9,3,0,0,0,0,0,9,-1,-1
201597UC03008,1,1,3,1,50,8,3,5,1,0,0,0,0,1,-1
201597UC03102,1,1,2,1,41,7,3,0,0,0,4,0,11,1,-1
201597UC03103,1,1,3,1,17,4,3,5,3,0,0,0,0,-1,-1
201597UC03104,1,1,1,1,38,7,3,0,0,0,0,0,9,2,-1
201597UC03109,2,1,1,1,26,6,3,0,0,0,0,0,1,1,-1
201597UC03111,2,1,1,1,69,10,3,0,0,0,0,0,9,1,-1
201597UC03207,1,1,1,1,25,5,3,0,0,0,0,0,9,-1,-1
201597UC03210,2,1,1,2,29,6,3,0,0,0,0,0,9,1,-1
201597UC03212,2,1,2,2,28,6,3,0,0,1,0,0,9,3,-1
201597UC03305,1,1,2,2,34,6,3,0,0,1,0,0,9,2,-1
201597UC03305,1,2,1,1,34,6,3,0,0,0,0,0,9,2,-1
201597UC03404,1,1,1,1,35,6,3,0,0,0,0,0,9,-1,-1
201597UC03410,2,1,1,1,26,6,3,0,0,0,0,0,9,3,-1
201597UC03510,1,1,3,1,11,3,3,4,4,0,0,0,0,1,-1
201597UC03512,2,1,2,1,58,9,3,0,0,1,0,0,9,1,-1
201597UC03512,2,2,1,1,54,8,3,0,0,0,0,0,9,1,-1
201597UC03601,3,2,1,1,25,5,3,0,0,0,0,0,9,1,-1
201597UC03601,7,1,1,2,23,5,3,0,0,0,0,0,9,1,-1
201597UC03602,1,1,2,1,91,11,3,0,0,1,0,0,9,1,-1
201597UC03602,1,2,1,1,85,11,3,0,0,0,0,0,9,1,-1
201597UC03603,2,1,1,1,50,8,3,0,0,0,0,0,9,1,-1
201597UC03611,2,1,2,2,25,5,3,0,0,2,0,0,9,3,-1
201597UC03705,1,1,3,1,9,2,3,5,4,0,0,0,0,1,-1
201597UC03905,2,1,1,1,40,7,3,0,0,0,0,0,1,2,-1
201597UC04011,1,1,3,2,50,8,3,1,3,0,0,0,0,-1,-1
201597UC04305,1,1,1,2,35,6,3,0,0,0,0,0,1,-1,-1
201597UC04311,1,1,3,1,86,11,2,5,1,0,0,0,0,1,-1
201597UC04701,1,2,1,1,38,7,3,0,0,0,0,0,9,1,-1
201597UC04701,2,1,1,1,33,6,3,0,0,0,0,0,9,1,-1
201597UC04801,2,1,2,2,63,9,3,0,0,1,0,0,9,3,-1
201597UC05701,2,1,1,2,23,5,3,0,0,0,0,0,3,1,-1
201597UC40102,1,4,1,1,59,9,3,0,0,0,0,0,9,-1,-1
201597UC40102,2,2,2,2,67,10,3,0,0,1,0,0,9,1,-1
201597UC40102,2,3,1,2,38,7,3,0,0,0,0,0,9,2,-1
201597UC40102,3,1,1,1,62,9,3,0,0,0,0,0,19,2,-1
201597UC40105,1,1,1,1,47,8,3,0,0,0,0,0,9,1,-1
201597UC40107,1,1,1,2,20,4,3,0,0,0,0,0,9,1,-1
201597UC40202,2,1,1,2,57,9,3,0,0,0,0,0,9,2,-1
201597UC40203,1,1,2,2,32,6,3,0,0,2,0,0,9,2,-1
201597UC40203,1,2,2,1,33,6,3,0,0,1,0,0,9,-1,-1
201597UC40204,2,1,1,2,44,7,3,0,0,0,0,0,9,3,-1
201597UC40206,1,1,1,2,46,8,3,0,0,0,0,0,19,3,-1
201597UC40208,2,1,1,1,68,10,3,0,0,0,0,0,1,1,-1
201597UC40209,1,2,1,2,20,4,3,0,0,0,0,0,9,-1,-1
201597UC40209,2,1,1,1,65,9,3,0,0,0,0,0,9,3,-1
201597UC40210,1,1,1,2,19,4,3,0,0,0,0,0,9,2,-1
201597UC40212,1,1,1,2,56,9,3,0,0,0,0,0,9,1,-1
201597UC40305,1,1,1,2,29,6,3,0,0,0,0,0,19,2,-1
201597UC40308,2,1,2,2,4,1,3,0,0,2,0,0,9,3,-1
201597UC40402,1,1,3,1,38,7,3,5,4,0,0,0,0,1,-1
201597UC40410,1,1,1,1,25,5,3,0,0,0,0,0,19,1,-1
201597UC40411,1,1,2,2,18,4,3,0,0,0,4,0,11,2,-1
201597UC40412,1,1,1,2,54,8,3,0,0,0,0,0,10,2,-1
201597UC40412,1,2,2,1,56,9,3,0,0,1,4,0,10,3,-1
201597UC40505,1,1,1,2,59,9,3,0,0,0,0,0,8,3,-1
201597UC40507,1,1,1,1,43,7,3,0,0,0,0,0,5,1,-1
201597UC40508,1,2,1,1,35,6,3,0,0,0,0,0,19,1,-1
201597UC40508,3,1,1,2,41,7,3,0,0,0,0,0,9,3,-1
201597UC40603,1,1,3,1,8,2,3,5,4,0,0,0,0,2,-1
201597UC40605,1,1,2,2,45,7,3,0,0,1,0,0,19,3,-1
201597UC40607,1,2,1,1,90,11,2,0,0,0,0,0,9,3,-1
201597UC40607,3,1,1,1,39,7,2,0,0,0,0,0,9,3,-1
201597UC40608,1,1,1,1,34,6,3,0,0,0,0,0,19,3,-1
201597UC40609,1,1,1,1,23,5,3,0,0,0,0,0,9,3,-1
201597UC40610,1,1,1,2,51,8,3,0,0,0,0,0,2,3,-1
201597UC40611,2,1,1,1,32,6,2,0,0,0,0,0,9,3,-1
201597UC40611,2,2,2,1,19,4,3,0,0,1,0,0,9,2,-1
201597UC40708,1,1,3,1,8,2,3,5,4,0,0,0,0,-1,-1
201597UC40709,1,1,1,1,59,9,3,0,0,0,0,0,9,1,9
201597UC40801,2,1,1,1,48,8,3,0,0,0,0,0,9,2,-1
201597UC40805,2,1,1,1,67,10,3,0,0,0,0,0,9,2,-1
201597UC40807,1,1,3,1,62,9,3,9,9,0,0,0,0,1,-1
201597UC40810,1,1,1,2,68,10,3,0,0,0,0,0,9,-1,-1
201597UC40810,1,2,2,2,58,9,3,0,0,1,0,0,9,-1,-1
201597UC40811,1,1,1,1,55,8,3,0,0,0,0,0,9,1,-1
201597UC40905,2,1,1,2,57,9,3,0,0,0,0,0,9,1,-1
201597UC40906,1,1,3,2,12,3,3,5,1,0,0,0,0,3,-1
201597UC40908,1,1,2,2,40,7,3,0,0,1,0,0,9,2,-1
201597UC41001,1,1,1,1,87,11,3,0,0,0,0,0,9,3,-1
201597UC41002,1,1,2,1,82,11,3,0,0,0,2,0,11,-1,-1
201597UC41005,1,3,1,2,34,6,3,0,0,0,0,0,9,2,-1
201597UC41005,2,2,1,2,24,5,3,0,0,0,0,0,9,2,-1
201597UC41005,3,1,1,1,58,9,3,0,0,0,0,0,9,1,-1
201597UC41102,2,1,1,1,35,6,3,0,0,0,0,0,9,2,-1
201597UC41102,2,2,2,2,44,7,3,0,0,1,0,0,9,2,-1
201597UC41108,1,1,2,2,76,11,2,0,0,1,0,0,9,3,-1
201597UC41108,1,3,2,2,79,11,3,0,0,2,0,0,9,-1,-1
201597UC41108,1,4,1,1,79,11,3,0,0,0,0,0,9,3,-1
201597UC41108,2,2,2,1,11,3,3,0,0,1,0,0,9,2,-1
201597UC41311,1,1,1,1,62,9,3,0,0,0,0,0,9,2,-1
201597UC41401,2,1,1,2,32,6,3,0,0,0,0,0,9,3,-1
201597UC41402,1,1,1,2,24,5,3,0,0,0,0,0,9,2,-1
201597UC41403,1,1,1,1,51,8,3,0,0,0,0,0,9,3,-1
201597UC41407,2,1,2,2,45,7,3,0,0,2,0,0,8,2,-1
201597UC41407,2,2,2,2,41,7,3,0,0,2,0,0,8,2,-1
201597UC41410,1,1,1,2,20,4,3,0,0,0,0,0,9,3,-1
201597UC41511,1,1,1,1,52,8,3,0,0,0,0,0,9,3,-1
201597UC41603,1,1,1,2,22,5,3,0,0,0,0,0,9,-1,-1
201597UC41604,1,1,2,1,3,1,3,0,0,2,0,0,9,1,-1
201597UC41604,1,2,1,2,28,6,3,0,0,0,0,0,9,1,-1
201597UC41608,1,1,1,1,21,5,3,0,0,0,0,0,5,1,-1
201597UC41701,1,1,1,1,77,11,3,0,0,0,0,0,9,2,-1
201597UC41703,1,1,1,2,26,6,3,0,0,0,0,0,9,2,-1
201597UC41704,2,1,1,1,52,8,3,0,0,0,0,0,9,3,-1
201597UC41803,1,1,2,2,23,5,3,0,0,1,0,0,9,3,-1
201597UC41903,1,1,1,1,36,7,3,0,0,0,0,0,9,3,-1
201597UC41911,1,1,3,2,20,4,2,5,1,0,0,0,0,2,-1
201597UC42201,1,1,1,2,29,6,3,0,0,0,0,0,9,2,-1
201597UC42203,1,1,1,1,41,7,3,0,0,0,0,0,19,1,-1
201597UC42401,2,1,1,1,45,7,3,0,0,0,0,0,9,2,-1
201597UC70102,1,1,2,1,17,4,3,0,0,1,0,0,19,1,-1
201597UC70105,2,5,1,2,60,9,3,0,0,0,0,0,9,1,-1
201597UC70105,3,1,2,2,4,1,3,0,0,2,0,0,9,1,-1
201597UC70105,3,2,2,1,10,2,3,0,0,2,0,0,9,3,-1
201597UC70105,3,3,2,1,7,2,3,0,0,2,0,0,9,3,-1
201597UC70105,3,4,2,1,35,6,3,0,0,1,0,0,9,-1,-1
201597UC70106,1,1,1,1,53,8,3,0,0,0,0,0,9,1,-1
201597UC70107,1,3,1,1,45,7,3,0,0,0,0,0,19,2,-1
201597UC70107,2,2,1,1,55,8,3,0,0,0,0,0,19,3,-1
201597UC70107,3,1,1,1,68,10,3,0,0,0,0,0,17,2,-1
201597UC70108,1,1,3,1,15,3,2,5,1,0,0,0,0,2,-1
201597UC70204,1,1,2,1,9,2,2,0,0,1,0,0,9,1,1
201597UC70206,2,1,2,2,10,2,3,0,0,2,0,0,9,2,-1
201597UC70206,2,2,1,2,40,7,3,0,0,0,0,0,9,2,-1
201597UC70207,1,1,2,2,79,11,3,0,0,2,0,0,9,3,-1
201597UC70209,2,1,1,2,60,9,3,0,0,0,0,0,9,-1,-1
201597UC70210,1,1,1,1,69,10,2,0,0,0,0,0,9,3,-1
201597UC70211,1,3,1,2,19,4,3,0,0,0,0,0,9,2,-1
201597UC70211,2,2,1,1,60,9,3,0,0,0,0,0,9,2,-1
201597UC70211,3,1,1,2,21,5,3,0,0,0,0,0,9,3,-1
201597UC70212,1,2,2,2,68,10,3,0,0,1,0,0,9,3,-1
201597UC70212,2,1,2,2,31,6,3,0,0,1,0,0,9,3,-1
201597UC70304,1,1,1,1,28,6,2,0,0,0,0,0,9,2,-1
201597UC70304,1,5,2,1,20,4,3,0,0,1,0,0,9,1,-1
201597UC70304,2,2,2,2,42,7,3,0,0,1,0,0,9,3,-1
201597UC70304,2,3,1,2,42,7,3,0,0,0,0,0,9,3,-1
201597UC70304,2,4,2,1,32,6,3,0,0,2,0,0,9,-1,-1
201597UC70305,1,1,1,1,52,8,3,0,0,0,0,0,21,2,3
201597UC70310,2,1,1,2,34,6,3,0,0,0,0,0,9,1,-1
201597UC70312,2,1,2,2,3,1,2,0,0,2,0,0,9,-1,-1
201597UC70404,1,1,1,1,52,8,2,0,0,0,0,0,9,2,-1
201597UC70404,2,2,1,1,43,7,3,0,0,0,0,0,9,3,-1
201597UC70406,1,1,2,1,16,4,2,0,0,0,0,0,19,3,-1
201597UC70408,1,1,1,1,34,6,2,0,0,0,0,0,5,1,-1
201597UC70412,1,1,3,2,74,10,3,6,9,0,0,0,0,2,-1
201597UC70505,1,1,1,1,26,6,3,0,0,0,0,0,19,2,-1
201597UC70508,1,1,1,2,20,4,2,0,0,0,0,0,9,1,-1
201597UC70509,1,1,1,2,20,4,3,0,0,0,0,0,9,3,-1
201597UC70510,1,2,1,1,47,8,3,0,0,0,0,0,9,2,-1
201597UC70510,2,1,2,1,76,11,3,0,0,1,0,0,9,3,-1
201597UC70512,1,1,1,1,53,8,3,0,0,0,0,0,9,-1,-1
201597UC70605,1,1,1,1,44,7,2,0,0,0,0,0,3,2,-1
201597UC70606,1,3,1,1,30,6,3,0,0,0,0,0,9,-1,-1
201597UC70606,2,1,1,1,29,6,3,0,0,0,0,0,9,-1,-1
201597UC70606,2,2,2,1,29,6,3,0,0,1,0,0,9,-1,-1
201597UC70607,1,4,1,1,25,5,3,0,0,0,0,0,19,1,-1
201597UC70607,2,1,2,1,75,10,2,0,0,2,0,0,9,3,-1
201597UC70607,2,2,2,1,15,3,3,0,0,1,0,0,9,1,-1
201597UC70607,2,3,1,2,43,7,3,0,0,0,0,0,9,1,-1
201597UC70608,1,1,1,1,62,9,3,0,0,0,0,0,20,3,-1
201597UC70611,1,1,1,1,22,5,3,0,0,0,0,0,9,2,-1
201597UC70612,1,1,2,2,24,5,3,0,0,1,0,0,9,3,-1
201597UC70612,1,2,1,1,21,5,3,0,0,0,0,0,9,1,-1
201597UC70706,1,1,1,1,49,8,3,0,0,0,0,0,9,-1,-1
201597UC70707,1,1,1,1,29,6,2,0,0,0,0,0,3,1,-1
201597UC70806,1,1,1,1,67,10,2,0,0,0,0,0,9,1,-1
201597UC70806,2,2,2,1,19,4,3,0,0,1,0,0,19,-1,-1
201597UC70806,2,3,1,1,40,7,3,0,0,0,0,0,19,1,-1
201597UC70812,1,1,1,2,21,5,3,0,0,0,0,0,9,2,-1
201597UC70906,2,1,1,1,32,6,3,0,0,0,0,0,19,1,-1
201597UC70906,2,2,2,1,39,7,3,0,0,1,0,0,19,1,-1
201597UC70907,2,1,1,2,53,8,3,0,0,0,0,0,9,1,-1
201597UC70912,1,3,1,1,29,6,3,0,0,0,0,0,9,1,-1
201597UC70912,4,1,2,2,39,7,2,0,0,1,0,0,9,1,-1
201597UC70912,4,2,1,1,46,8,3,0,0,0,0,0,9,1,-1
201597UC71007,1,1,1,1,37,7,3,0,0,0,0,0,9,-1,-1
201597UC71007,1,2,2,1,12,3,3,0,0,2,0,0,9,1,-1
201597UC71011,1,1,1,1,28,6,3,0,0,0,0,0,9,1,-1
201597UC71012,1,1,1,1,24,5,3,0,0,0,0,0,9,3,-1
201597UC71106,1,2,1,1,27,6,3,0,0,0,0,0,19,-1,-1
201597UC71106,2,1,1,2,40,7,3,0,0,0,0,0,9,2,-1
201597UC71107,2,2,1,2,57,9,3,0,0,0,0,0,9,2,-1
201597UC71107,3,1,1,2,55,8,2,0,0,0,0,0,9,3,-1
201597UC71112,1,1,1,1,21,5,3,0,0,0,0,0,9,1,-1
201597UC71206,1,2,1,1,55,8,3,0,0,0,0,0,1,1,-1
201597UC71206,2,1,1,1,44,7,3,0,0,0,0,0,5,1,-1
201597UC71207,2,1,1,1,20,4,3,0,0,0,0,0,2,1,-1
201597UC71306,2,1,1,1,22,5,3,0,0,0,0,0,1,1,-1
201597UC71312,2,1,1,1,44,7,3,0,0,0,0,0,9,1,-1
201597UC71406,1,1,3,1,53,8,2,5,1,0,0,0,0,1,-1
201597UC71506,1,1,1,1,49,8,2,0,0,0,0,0,5,-1,-1
201597UD00103,1,1,1,2,42,7,3,0,0,0,0,0,9,3,-1
201597UD00104,1,1,3,2,18,4,3,5,1,0,0,0,0,1,-1
201597UD00201,2,1,1,2,50,8,3,0,0,0,0,0,1,1,-1
201597UD00202,1,1,1,1,84,11,3,0,0,0,0,0,9,-1,-1
201597UD00210,2,1,1,1,15,3,3,0,0,0,0,0,1,2,-1
201597UD00303,1,1,2,2,44,7,3,0,0,1,0,0,9,-1,-1
201597UD00305,1,1,2,2,46,8,3,0,0,1,0,0,9,2,-1
201597UD00401,1,1,1,1,28,6,3,0,0,0,0,0,9,1,-1
201597UD00403,1,1,1,1,25,5,3,0,0,0,0,0,19,3,-1
201597UD00405,2,1,1,2,41,7,3,0,0,0,0,0,9,2,-1
201597UD00407,1,1,1,1,26,6,3,0,0,0,0,0,5,1,-1
201597UD00410,2,1,1,1,67,10,3,0,0,0,0,0,19,3,-1
201597UD00411,2,1,1,2,23,5,3,0,0,0,0,0,9,3,-1
201597UD00502,1,1,3,1,35,6,3,5,1,0,0,0,0,1,-1
201597UD00505,1,1,3,2,68,10,2,4,2,0,0,0,0,-1,-1
201597UD00508,1,1,1,2,22,5,3,0,0,0,0,0,9,1,-1
201597UD00601,1,2,1,1,24,5,3,0,0,0,0,0,9,1,-1
201597UD00601,2,1,1,2,67,10,3,0,0,0,0,0,9,3,-1
201597UD00607,1,1,3,1,13,3,3,5,3,0,0,0,0,2,-1
201597UD00609,2,1,1,1,24,5,3,0,0,0,0,0,9,3,-1
201597UD00612,2,1,2,1,6,2,3,0,0,1,0,0,9,3,-1
201597UD00701,2,1,1,1,75,10,3,0,0,0,0,0,9,-1,-1
201597UD00702,2,1,1,2,48,8,2,0,0,0,0,0,9,1,-1
201597UD00703,1,1,1,1,47,8,3,0,0,0,0,0,19,3,-1
201597UD00709,1,1,3,2,35,6,2,5,1,0,0,0,0,1,-1
201597UD00808,2,1,1,1,44,7,3,0,0,0,0,0,9,3,-1
201597UD00904,1,1,3,2,74,10,3,1,4,0,0,0,0,1,-1
201597UD00909,1,1,1,1,32,6,3,0,0,0,0,0,9,1,-1
201597UD00911,2,1,1,1,62,9,2,0,0,0,0,0,5,-1,-1
201597UD01001,1,1,1,1,47,8,3,0,0,0,0,0,9,3,-1
201597UD01003,2,1,1,1,49,8,3,0,0,0,0,0,3,-1,-1
201597UD01005,1,2,2,2,73,10,3,0,0,1,0,0,9,2,-1
201597UD01005,1,3,1,2,81,11,3,0,0,0,0,0,9,2,-1
201597UD01005,2,1,2,2,67,10,3,0,0,1,0,0,9,-1,-1
201597UD01011,1,3,1,1,18,4,3,0,0,0,0,0,9,1,-1
201597UD01011,3,1,2,1,9,2,3,0,0,1,0,0,9,1,-1
201597UD01011,3,2,1,2,47,8,3,0,0,0,0,0,9,1,-1
201597UD01101,1,1,2,2,17,4,1,0,0,1,0,0,9,-1,-1
201597UD01101,1,2,1,1,17,4,2,0,0,0,0,0,9,2,-1
201597UD01105,1,1,3,1,4,1,2,8,3,0,0,0,0,1,-1
201597UD01201,1,2,2,2,14,3,2,0,0,1,0,0,9,3,-1
201597UD01201,1,3,1,2,47,8,2,0,0,0,0,0,9,3,-1
201597UD01201,2,1,1,1,55,8,2,0,0,0,0,0,9,3,-1
201597UD01208,1,1,1,2,54,8,3,0,0,0,0,0,9,3,-1
201597UD01303,2,1,2,1,19,4,3,0,0,1,0,0,9,1,-1
201597UD01310,1,1,1,1,27,6,3,0,0,0,0,0,9,-1,-1
201597UD01402,1,1,1,1,67,10,3,0,0,0,0,0,9,-1,-1
201597UD01408,2,1,1,1,37,7,3,0,0,0,0,0,9,3,-1
201597UD01409,1,1,2,2,14,3,3,0,0,2,0,0,9,1,-1
201597UD01501,2,1,1,2,42,7,3,0,0,0,0,0,9,3,-1
201597UD01606,1,1,1,2,48,8,3,0,0,0,0,0,9,1,-1
201597UD01611,2,1,1,1,20,4,2,0,0,0,0,0,3,3,-1
201597UD01807,1,1,1,2,50,8,3,0,0,0,0,0,9,3,-1
201597UD01808,1,2,1,1,65,9,3,0,0,0,0,0,9,1,-1
201597UD01808,2,1,1,1,60,9,3,0,0,0,0,0,9,2,-1
201597UD01809,1,1,1,2,26,6,3,0,0,0,0,0,9,1,-1
201597UD01811,1,1,3,2,68,10,3,8,3,0,0,0,0,1,-1
201597UD02012,1,1,2,2,21,5,2,0,0,1,0,0,9,1,-1
201597UD02012,1,2,1,1,23,5,3,0,0,0,0,0,9,1,-1
201597UD02103,1,1,3,2,44,7,3,6,9,0,0,0,0,3,-1
201597UD02204,2,1,1,1,28,6,3,0,0,0,0,0,3,1,-1
201597UD02205,1,1,1,2,67,10,3,0,0,0,0,0,9,3,-1
201597UD02206,1,1,1,2,50,8,3,0,0,0,0,0,9,1,-1
201597UD02208,1,1,1,2,58,9,3,0,0,0,0,0,9,3,-1
201597UD02304,1,2,1,2,25,5,3,0,0,0,0,0,9,3,-1
201597UD02304,2,1,1,2,28,6,3,0,0,0,0,0,9,2,-1
201597UD02404,1,1,3,1,13,3,3,6,9,0,0,0,0,1,-1
